X,sec
-8.0,-6.872850623429639
-7.9,-21.738125925612646
-7.800000000000001,18.533819022575706
-7.700000000000001,6.5200157579574105
-7.600000000000001,3.979943590551437
-7.500000000000002,2.8848762640189953
-7.400000000000002,2.2802556127032223
-7.3000000000000025,1.9008606006367135
-7.200000000000003,1.6437870285273124
-7.100000000000003,1.4608207845989805
-7.0000000000000036,1.3264318927447674
-6.900000000000004,1.2259031647566583
-6.800000000000004,1.1502218031272826
-6.700000000000005,1.0936333096778903
-6.600000000000005,1.0523735912621321
-6.500000000000005,1.0239736630223268
-6.400000000000006,1.006861866195002
-6.300000000000006,1.0001414325426885
-6.200000000000006,1.0034700122194944
-6.100000000000007,1.01701651375636
-6.000000000000007,1.0414824505779365
-5.9000000000000075,1.0781921692858392
-5.800000000000008,1.1292805402037571
-5.700000000000008,1.1980167650167535
-5.6000000000000085,1.2893808728976732
-5.500000000000009,1.4110939071617918
-5.400000000000009,1.5755638785091723
-5.30000000000001,1.8038321877990902
-5.20000000000001,2.1343959687872385
-5.10000000000001,2.645659006859413
-5.000000000000011,3.5253219726446217
-4.900000000000011,5.36158251842747
-4.800000000000011,11.428766710273887
-4.700000000000012,-80.72366687425777
-4.600000000000012,-8.91646175073655
-4.500000000000012,-4.743932858930047
-4.400000000000013,-3.253802387563154
-4.300000000000013,-2.4950155768036217
-4.2000000000000135,-2.03973075865835
-4.100000000000014,-1.7396605783617773
-4.000000000000014,-1.5298845961997813
-3.900000000000014,-1.3775384584408041
-3.800000000000014,-1.2642739097418036
-3.700000000000014,-1.1791061057535839
-3.600000000000014,-1.1151274942888398
-3.5000000000000138,-1.0678550307754278
-3.4000000000000137,-1.0343424587869212
-3.3000000000000136,-1.0126791744396024
-3.2000000000000135,-1.0017082276208886
-3.1000000000000134,-1.0008656381223486
-3.0000000000000133,-1.0101086827528118
-2.9000000000000132,-1.0299104972011812
-2.800000000000013,-1.061320350776317
-2.700000000000013,-1.106106303811134
-2.600000000000013,-1.1670125861877578
-2.500000000000013,-1.248215634160955
-2.400000000000013,-1.3561276352290363
-2.3000000000000127,-1.500879465716845
-2.2000000000000126,-1.6992322406840625
-2.1000000000000125,-1.9808016910762636
-2.0000000000000124,-2.402997969574447
-1.9000000000000123,-3.093202202868792
-1.8000000000000123,-4.401367871946554
-1.7000000000000122,-7.761293988867366
-1.600000000000012,-34.24713561000024
-1.500000000000012,14.136832902618861
-1.400000000000012,5.883490055719694
-1.3000000000000118,3.738334127376963
-1.2000000000000117,2.7597036041098875
-1.1000000000000116,2.204604403906129
-1.0000000000000115,1.8508157782162054
-0.9000000000000116,1.6087258096661392
-0.8000000000000116,1.4353241967384753
-0.7000000000000116,1.3074592504295028
-0.6000000000000116,1.2116282881263842
-0.5000000000000117,1.1394938587982215
-0.4000000000000117,1.0857042625184121
-0.3000000000000117,1.046751605474148
-0.2000000000000117,1.0203388549407353
-0.10000000000001169,1.0050209425991357
-1.1685097334179773E-14,1.0000000562589522
0.09999999999998832,1.0050210449682735
0.19999999999998833,1.020339122236174
0.29999999999998833,1.0467521965786357
0.39999999999998836,1.085704405028532
0.49999999999998834,1.1394938733523403
0.5999999999999883,1.211628190906283
0.6999999999999883,1.3074589773483034
0.7999999999999883,1.435323551195955
0.8999999999999883,1.6087242992199684
0.9999999999999882,1.8508120972191857
