X,trigFun
-8.0,1.0
-7.9,1.0
-7.800000000000001,1.0
-7.700000000000001,1.0
-7.600000000000001,1.0
-7.500000000000002,1.0
-7.400000000000002,1.0
-7.3000000000000025,1.0
-7.200000000000003,1.0
-7.100000000000003,1.0
-7.0000000000000036,1.0
-6.900000000000004,1.0
-6.800000000000004,1.0
-6.700000000000005,1.0
-6.600000000000005,1.0
-6.500000000000005,1.0
-6.400000000000006,1.0
-6.300000000000006,1.0
-6.200000000000006,1.0
-6.100000000000007,1.0
-6.000000000000007,1.0
-5.9000000000000075,1.0
-5.800000000000008,1.0
-5.700000000000008,1.0
-5.6000000000000085,1.0
-5.500000000000009,1.0
-5.400000000000009,1.0
-5.30000000000001,1.0
-5.20000000000001,1.0
-5.10000000000001,1.0
-5.000000000000011,1.0
-4.900000000000011,1.0
-4.800000000000011,1.0
-4.700000000000012,1.0
-4.600000000000012,1.0
-4.500000000000012,1.0
-4.400000000000013,1.0
-4.300000000000013,1.0
-4.2000000000000135,1.0
-4.100000000000014,1.0
-4.000000000000014,1.0
-3.900000000000014,1.0
-3.800000000000014,1.0
-3.700000000000014,1.0
-3.600000000000014,1.0
-3.5000000000000138,1.0
-3.4000000000000137,1.0
-3.3000000000000136,1.0
-3.2000000000000135,1.0
-3.1000000000000134,1.0
-3.0000000000000133,1.0
-2.9000000000000132,1.0
-2.800000000000013,1.0
-2.700000000000013,1.0
-2.600000000000013,1.0
-2.500000000000013,1.0
-2.400000000000013,1.0
-2.3000000000000127,1.0
-2.2000000000000126,1.0
-2.1000000000000125,1.0
-2.0000000000000124,1.0
-1.9000000000000123,1.0
-1.8000000000000123,1.0
-1.7000000000000122,1.0
-1.600000000000012,1.0
-1.500000000000012,1.0
-1.400000000000012,1.0
-1.3000000000000118,1.0
-1.2000000000000117,1.0
-1.1000000000000116,1.0
-1.0000000000000115,1.0
-0.9000000000000116,1.0
-0.8000000000000116,1.0
-0.7000000000000116,1.0
-0.6000000000000116,1.0
-0.5000000000000117,1.0
-0.4000000000000117,1.0
-0.3000000000000117,1.0
-0.2000000000000117,1.0
-0.10000000000001169,1.0
-1.1685097334179773E-14,1.0
0.09999999999998832,1.0
0.19999999999998833,1.0
0.29999999999998833,1.0
0.39999999999998836,1.0
0.49999999999998834,1.0
0.5999999999999883,1.0
0.6999999999999883,1.0
0.7999999999999883,1.0
0.8999999999999883,1.0
0.9999999999999882,1.0
